median-3,median-5,median-7,median-9
0.286708816,0.256301143,0.22559004,0.197734123
0.286361911,0.25223304,0.215837564,0.192502987
0.370322721,0.346445437,0.309550245,0.286772446
0.28271472,0.261740517,0.239228301,0.217992701
0.281893743,0.267602838,0.24252337,0.223459256
0.284562278,0.263767105,0.24295982,0.226543965
0.30785782,0.320262359,0.310463248,0.283937292
0.309196983,0.32468097,0.317904695,0.303344516
0.337302699,0.351438024,0.345034563,0.332808996
0.303607278,0.295630285,0.279590762,0.254654182
0.373283514,0.389629535,0.377392665,0.348578598
0.317806125,0.321034315,0.349244403,0.299682784
0.369114898,0.333819025,0.385841999,0.352969868
0.34447716,0.335603384,0.3415487,0.354599495
0.344538688,0.35502031,0.378269185,0.332180754
0.28454324,0.267554805,0.246573762,0.228385785
0.270877068,0.270217437,0.247341075,0.223990219
0.289757686,0.282675116,0.25979223,0.245762152
0.29512052,0.277798951,0.263896468,0.243692708
0.339204284,0.339494936,0.320201838,0.305939348
0.360895767,0.353254263,0.332451043,0.31576954
0.37035046,0.399406013,0.39451821,0.38742972
0.38530761,0.392506967,0.386754938,0.377747036
0.375308835,0.373663283,0.357762867,0.336163369
0.376028116,0.400081821,0.38958792,0.367247617
0.339816275,0.341337269,0.333518172,0.322176995
0.331494449,0.323317856,0.309068033,0.293897829
0.345862347,0.356002202,0.356277415,0.351275839
0.386693235,0.393466153,0.422112858,0.411873592
0.340652593,0.348721511,0.352363738,0.344295935
0.340467542,0.344379199,0.340354984,0.337159973
0.336541419,0.33738762,0.326762119,0.310808726
0.326419875,0.3214134,0.309307845,0.287710838
0.322608918,0.317604652,0.3043027,0.2833986
0.327661362,0.335456029,0.322269447,0.302397576
0.353362349,0.357652501,0.339386951,0.317058111
0.319371569,0.325842405,0.310560105,0.285865135
0.286670823,0.294643763,0.285919637,0.268086537
0.414683003,0.442001925,0.435410366,0.424132964
0.342062564,0.349424043,0.336492004,0.331816139
0.327365611,0.336034506,0.331287198,0.327242088
0.261062824,0.251824164,0.22811409,0.205602758
0.28381732,0.278411285,0.258054196,0.243092701
0.322334158,0.320715939,0.301608363,0.287416035
0.311351101,0.333457469,0.321387147,0.303633671
0.418238659,0.441416404,0.428591761,0.416381084
0.333515676,0.310697515,0.294185355,0.301869397
0.514022576,0.555197025,0.54562925,0.520899577
0.497951719,0.53203015,0.569197245,0.635824525
0.533498703,0.573095463,0.577177367,0.562083522
0.31984809,0.337119105,0.328777115,0.315856297
0.342325657,0.357234992,0.331471154,0.308685853
0.214462291,0.224535248,0.210849652,0.187460759
0.303542294,0.304356423,0.298088764,0.269707028
0.323390001,0.342366689,0.334474605,0.320230434
